"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
"concordance size","20"
"query","Query:[lc=""touch"" | lemma_lc=""touch""] within <doc (topic=""beauty & fashion"") />;Random sample:20"
"Reference","Left","KWIC","Right"
"purewow.com","into/IN  a/DT  heat-safe/JJ  bowl/NN  and/CC  cover/VV  directly/RB  with/IN  plastic/JJ  wrap/NN ./SENT </s><s> Refrigerate/VV  for/IN  30/CD  minutes/NNS ,/,  or/CC  until/IN  no/DT  longer/RBR  warm/JJ  to/IN  the/DT"," touch/NN","./SENT </s><s> 6/CD ./SENT </s><s> When/WRB  the/DT  custard/NN  is/VBZ  cool/JJ ,/,  whisk/NN  in/IN  the/DT  mascarpone/NN  until/IN  fully/RB  combined/VVN ./SENT </s><s> 7/CD ./SENT </s><s> In/IN  a/DT  small/JJ  bowl/NN ,/,  mix/VV  the/DT  coffee/NN  and/CC  alcohol/NN"
"purewow.com",",/,  soy/NN  sauce/NN ,/,  lime/JJ  juice/NN ,/,  ginger/NN ,/,  garlic/NN  and/CC  agave/NN ./SENT </s><s> Top/JJ  with/IN  cilantro/NN ,/,  scallions/NNS  and/CC  sesame/NN  seeds/NNS  for/IN  a/DT  cheffy/JJ  finishing/JJ"," touch/NN","./SENT </s><s> Ooo/NP ,/,  so/RB  salty/JJ  and/CC  savory/JJ ./SENT </s><s> Sure/RB ,/,  the/DT  grated/VVN  Parmesan/NN  and/CC  Pecorino/NP  Romano/NP  probably/RB  has/VHZ  a/DT  lot/NN  to/TO  do/VV  with/IN  it/PP ./SENT </s><s> But/CC  the/DT  real/JJ"
"purewow.com","repairing/VVG  weak/JJ  and/CC  brittle/JJ  strands/NNS ,/,  all/RB  while/IN  gently/RB  cleansing/VVG ./SENT </s><s> We/PP  live/VVP  for/IN  a/DT  good/JJ  exfoliating/VVG  salt/NN  scrub/NN ./SENT </s><s> But/CC  add/VV  in/IN  a/DT"," touch/NN"," of/IN  moisturizing/VVG  moringa/NN  oil/NN  and/CC  a/DT  little/JJ  sweet/JJ  almond/JJ  extract/NN  and/CC  we/PP ''re/VBP  on/IN  cloud/NN  nine/CD ./SENT </s><s> Pressed/VVN  Cheek/NP  Powder/NP </s><s> Want/VV  to/TO"
"purewow.com","on/IN  an/DT  average/JJ  Wednesday/NP  night/NN ./SENT </s><s> That/DT ''s/VBZ  not/RB  to/TO  say/VV  our/PPZ  house/NN  blends/NNS  are/VBP n''t/RB  delicious/JJ ,/,  we/PP  just/RB  picture/VVP  award/NN  winners/NNS  as/IN  a/DT"," touch/NN",".../: out/RB  of/IN  reach/NN ,/,  budget-wise/RB ./SENT </s><s> That/DT  was/VBD  until/IN  we/PP  heard/VVD  that/IN/that  an/DT  $/$ 8/CD  bottle/NN  of/IN  rosé/NN  from/IN  the/DT  grocery/NN  chain/NN  Aldi/NP  just/RB  won/VVD  a/DT"
"nstperfume.com","<s> It/PP ''s/VBZ  expensive/JJ  conformism/NN  in/IN  a/DT  bottle/NN ""/'''' ./SENT </s><s> I/PP  tried/VVD  Coco/NP  Noir/NP  3/CD  times/NNS ./SENT </s><s> Apart/RB  from/IN  the/DT  scrubbing/VVG  fantasy/NN  and/CC  the/DT  headahe/NN  I/PP  was/VBD"," touched/VVN"," by/IN  the/DT  complete/JJ  lack/NN  of/IN  subtlety/NN  in/IN  its/PPZ  compositions/NNS ./SENT </s><s> We/PP  could/MD  all/RB  call/VV  ourselves/PP  ""/`` noir/NN ""/''''  if/IN  we/PP  clad/VVD  in/IN  all-black/JJ  and/CC  dye/VV"
"nstperfume.com","into/IN  a/DT  hint/NN  of/IN  vanilla/NN  and/CC  woods/NNS ,/,  anchoring/VVG  the/DT  scent/NN  firmly/RB  on/IN  the/DT  skin/NN  for/IN  a/DT  good/JJ  2-3/CD  hours/NNS ./SENT </s><s> Calling/VVG  to/TO  mind/VV  Burberry/NN"," Touch/NP"," for/IN  Men/NP  and/CC  Azarro''s/NPZ  Pure/JJ  Lavande/NP ,/,  I/PP ''m/VBP  puzzled/VVN  why/WRB  Penhaligon''s/NPZ  chose/VVD  to/TO  list/VV  this/DT  not/RB  in/IN  the/DT  men''s/NNSZ  section/NN  of/IN  their/PPZ"
"nstperfume.com","lovely/JJ  and/CC  more/RBR  expensive/JJ  than/IN  its/PPZ  $/$ 10/CD  price/NN  tag/NN ./SENT </s><s> This/DT  scent/NN  is/VBZ  almost/RB  pure/JJ  golden/JJ  ""/`` hay/NN ""/''''  with/IN  a/DT  bit/NN  of/IN  smooth/JJ  moss/NN  and/CC  a/DT"," touch/NN"," of/IN  tobacco/NN  leaf/NN ./SENT </s><s> When/WRB  I/PP  wear/VVP  Adamus/NP ,/,  I/PP  get/VVP  into/IN  an/DT  ""/`` autumn/NN ""/''''  state/NN  of/IN  mind/NN ./SENT </s><s> Possets/NNS  perfumes/NNS  are/VBP  sold/VVN  in/IN  oil/NN  formulations/NNS ;/:"
"nstperfume.com","oils/NNS ./SENT </s><s> The/DT  resulting/VVG  scent/NN  is/VBZ  smooth/JJ  and/CC  sunny/JJ ,/,  uplifting/VVG  and/CC  calming/VVG  at/IN  the/DT  same/JJ  time/NN ./SENT </s><s> I/PP  think/VVP  I/PP  might/MD  even/RB  notice/VV  a/DT"," touch/NN"," of/IN  rose/NN  in/IN  the/DT  blend/NN ,/,  but/CC  I/PP  could/MD  be/VB  wrong/JJ  all/RB  about/IN  that/DT ./SENT </s><s> What/WP  I/PP  do/VVP  know/VV  is/VBZ  that/IN/that  this/DT  potion''s/NNZ  fragrance/NN  makes/VVZ  me/PP  smile/VVP ./SENT </s>"
"beautycrew.com.au","complexion/NN  and/CC  make/VV  you/PP  look/VV  instantly/RB  polished/JJ ./SENT </s><s> Balms/NNS ,/,  chubby/JJ  lip/JJ  pencils/NNS  and/CC  glosses/NNS  are/VBP  all/RB  easy/JJ  to/TO  apply/VV  and/CC  can/MD  be/VB"," touched/VVN"," up/RP  in/IN  seconds/NNS ./SENT </s><s> For/IN  lasting/JJ  colour/NN ,/,  the/DT  old-fashioned/JJ  trick/NN  of/IN  blotting/VVG  lips/NNS  with/IN  a/DT  tissue/NN  between/IN  applications/NNS  of/IN"
"beautycrew.com.au","day/NN !/SENT </s><s> Besides/IN  taking/VVG  care/NN  of/IN  Emma/NP  Roberts''/NPZ  gorgeous/JJ  red/JJ  carpet/NN  look/NN ,/,  she/PP  shared/VVD  this/DT  image/NN  of/IN  the/DT  finishing/JJ  makeup/NN"," touches/NNS"," for/IN  Salma/NP  Hayek/NP ./SENT </s><s> She/PP  captioned/VVD  it/PP :/:  ""/`` Loved/VVN  seeing/VVG  you/PP  last/JJ  night/NN  @salmahayek/NP !!!!!/SYM </s><s> You/PP  looked/VVD  SO/RB  mesmering/NN  in/IN  the/DT"
"beautycrew.com.au","yourself/PP  into/IN  your/PPZ  skin/NN  concern/NN  lane/NN  (/( and/CC  found/VVD  your/PPZ  foam/NN  fit/NN )/) ,/,  grabbing/VVG  a/DT  corresponding/JJ  toning/VVG  lotion/NN  (/( for/IN  a/DT  final/JJ"," touch/NN"," of/IN  non-irritating/JJ  freshness/NN )/)  will/MD  round/VV  out/RP  your/PPZ  routine/NN  perfectly/RB ./SENT </s><s> And/CC  with/IN  that/DT ,/,  your/PPZ  three-step/NN  cleanse/VV  is/VBZ"
