"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
"concordance size","20"
"query","Query:[lc=""touch"" | lemma_lc=""touch""] within <doc (topic=""sports"") />;Random sample:20"
"Reference","Left","KWIC","Right"
"goal.com","out/RB  for/IN  a/DT  goal/NN  kick/NN ./SENT </s><s> 55/NP ''/''''  Calhanoglu/NP  manages/VVZ  to/TO  release/VV  Rebic/NP  into/IN  space/NN  down/IN  the/DT  left/NN ,/,  but/CC  the/DT  Croatian/JJ  attacker''s/NNZ"," touch/NN"," is/VBZ  poor/JJ  and/CC  he/PP  wastes/VVZ  a/DT  rare/JJ  opening/NN ./SENT </s><s> 53/NP ''/''''  Milan/NP  move/NN  the/DT  ball/NN  intently/RB  around/IN  the/DT  area/NN  before/IN  Kessie/NP  attempts/VVZ  to/TO  curl/VV  an/DT"
"4for4.com","value/NN ./SENT </s><s> But/CC  Guice/NP  has/VHZ  shown/VVN  good/JJ  hands/NNS ,/,  and/CC  in/IN  Thompson''s/NPZ  nine/CD  healthy/JJ  games/NNS  last/JJ  season/NN ,/,  other/JJ  RBs/NN  averaged/VVD  just/RB  over/IN  16/CD"," touches/NNS"," a/DT  game/NN ./SENT </s><s> Redskins/NNS  RB/NP  Samaje/NP  Perine/NP  (/( groin/NN ,/,  shoulder/NN )/)  took/VVD  full/JJ  p./NN ../: </s><s> Redskins/NNS  RB/NP  Samaje/NP  Perine/NP  (/( groin/NN ,/,  shoulder/NN )/)  took/VVD"
"4for4.com","his/PPZ  potential/JJ  and/CC  completely/RB  outperformed/VVN  Asiata/NP ./SENT </s><s> Asiata/NP  still/RB  had/VHD  more/JJR  snaps/NNS  than/IN  McKinnon/NP  (/( 44-32/CD )/)  and/CC"," touches/NNS"," (/( 23-19/CD )/) ,/,  so/RB  we/PP  figure/VVP  he/PP ''ll/MD  still/RB  get/VV  the/DT  bulk/NN  of/IN  the/DT  workload/NN  moving/VVG  forward/RB ./SENT </s><s> Plus/RB ,/,  he/PP ''s/VBZ  always/RB  a/DT  threat/NN  to/TO  score/VV  on/IN  the/DT"
"umasshoops.com","to/TO  work/VV  on/IN  our/PPZ  offense/NN  and/CC  improve/VV  that/DT  and/CC  take/VV  high-percentage/JJ  shots/NNS ./SENT </s><s> We/PP ''re/VBP  trying/VVG  to/TO  get/VV  (/( Stephane/NP )/)  Lasme/NP  more/JJR"," touches/NNS"," and/CC  (/( Rashaun/NP )/)  Freeman/NP  more/JJR  touches/NNS ,/, ''/''''  he/PP  said/VVD ./SENT </s><s> ''/'''' We/PP ''re/VBP  doing/VVG  a/DT  lot/NN  of/IN  ball-handling/NN  drills/NNS  to/IN  kind/NN  of/IN  cut/VVN  down/RP  on/IN"
"numberfire.com","who/WP  is/VBZ  keeping/VVG  them/PP  from/IN  getting/VVG  more/JJR  targets/NNS ,/,  which/WDT  is/VBZ  often/RB  the/DT  same/JJ  thing/NN ./SENT </s><s> The/DT  key/NN  in/IN  fantasy/NN  football/NN  is/VBZ  volume/NN ./SENT </s><s>","Touches/NNS"," and/CC  targets/NNS  matter/NN  above/IN  all/DT  else/NN ./SENT </s><s> Good/JJ  players/NNS  and/CC  good/JJ  offenses/NNS  matter/NN ,/,  but/CC  situations/NNS  and/CC  market/NN  shares/NNS  impact/VVP  a/DT"
"justarsenal.com","./SENT </s><s> When/WRB  Odegaard/NP  came/VVD  on/IN  loan/NN  he/PP  ended/VVD  up/RP  playing/VVG  out/RP  on/IN  the/DT  wing/NN ./SENT </s><s> Feel/VV  sorry/RB  for/IN  Mr/NP  Paul/NP  Merson/NP ./SENT </s><s> Guess/VV  he/PP  must/MD  have/VH  lost/VVN"," touch/NN"," with/IN  football/NN  in/IN  recent/JJ  times/NNS ,/,  especially/RB  Arsenal/NP ./SENT </s><s> Just/RB  because/IN  they/PP  both/CC  share/VV  the/DT  same/JJ  jersey/NN  number/NN  –/:  ESR/NP  at/IN  Arsenal/NP"
"fasterskier.com","most/RBS  valuable/JJ  things/NNS  she/PP  gained/VVD  from/IN  spending/VVG  a/DT  couple/NN  of/IN  weeks/NNS  with/IN  Jacobsen/NP  and/CC  Gruber/NP  was/VBD  two/CD  more/JJR  friends/NNS  to/TO  keep/VV  in/IN"," touch/NN"," with/IN  during/IN  five/CD  long/JJ  winter/NN  months/NNS  of/IN  travel/NN ./SENT </s><s> The/DT  NAWTA/NP  name/NN  originated/VVN  in/IN  2011/CD  when/WRB  Canadian/NP  World/NP  Cup/NP  skiers/NNS  Chandra/NP"
"milesplit.com","were/VBD  common/JJ  and/CC  usually/RB  times/NNS  were/VBD  solid/JJ  to/IN  places/NNS  5/CD  deep/RB ./SENT </s><s> I/PP  also/RB  agree/VVP  with/IN  the/DT  earlier/JJR  post/NN ,/,  where/WRB  if/IN  NCHSAA/NP  (/( so/RB  out/RB  of/IN"," touch/NN"," with/IN  reality/NN )/)  would/MD  just/RB  keep/VV  1A/NP //SYM 3A/JJ  on/IN  same/JJ  day/NN  (/( guys/NNS  and/CC  girls/NNS )/)  and/CC  2A/NP //SYM 4A/JJ  same/JJ  day/NN ,/,  it/PP  would/MD  save/VV  the/DT  state/NN  some/DT  money/NN ./SENT </s><s> I/PP"
"draftexpress.com","become/VV  a/DT  more/RBR  dangerous/JJ  player/NN  in/IN  the/DT  low/JJ  post/NN )/) ,/,  Barac/NP  is/VBZ  really/RB  big/JJ  and/CC  he/PP ''s/VBZ  making/VVG  a/DT  productive/JJ  living/VVG  off/RP  of/IN  his/PPZ  sweet/JJ"," touch/NN"," from/IN  mid-range/JJ  distances/NNS ,/,  while/IN  he/PP  shows/VVZ  nice/JJ  understanding/NN  of/IN  the/DT  game/NN ./SENT </s><s> He/PP ''s/VBZ  a/DT  guy/NN  to/TO  closely/RB  follow/VV  his/PPZ  development/NN"
"draftexpress.com","moves/NNS  in/IN  the/DT  midrange/NN ,/,  including/VVG  a/DT  show-and-go/NN  turnaround/NN  jumper/NN  that/WDT  allows/VVZ  him/PP  to/TO  get/VV  space/NN ./SENT </s><s> DoesnÂ''t/NNS  possess/VVP  the/DT"," touch/NN"," to/TO  capitalize/VV  on/IN  many/JJ  of/IN  the/DT  chances/NNS  that/IN/that  he/PP  creates/VVZ  for/IN  himself/PP ./SENT </s><s> Has/VHZ  cut/VVN  down/RP  on/IN  his/PPZ  turnovers/NNS  significantly/RB ./SENT </s><s> Shows/NNS"
