"corpus","preloaded/brown_family_1"
"subcorpus","###2473623568038368922###"
Item,Frequency,Relative frequency
"VVD",5269,26273.66699
"VVI",4317,21526.55540
"VVN",3669,18295.32818
"VVG",2461,12271.68238
"VV0",1525,7604.35418
"VVZ",1523,7594.38125
"VVGK",65,324.12001
"VVI21",2,9.97292
"VVI22",2,9.97292
"VVI33",1,4.98646
"VVG22",1,4.98646
"VVG21",1,4.98646
"VVN22",1,4.98646
"VVNK",1,4.98646
"VVN21",1,4.98646
"VVI32",1,4.98646
"VVI31",1,4.98646
"VVO",0,0.00000
"VVND",0,0.00000
"VV022",0,0.00000
"VVPR",0,0.00000
"VVd",0,0.00000
"VVn",0,0.00000
"VVi",0,0.00000
"VVDZ",0,0.00000
"VV021",0,0.00000
"VV",0,0.00000
