"corpus","preloaded/brown_family_1"
"subcorpus","###3432555569219734324###"
Item,Frequency,Relative frequency
"VVN",9544,23775.18204
"VVD",9262,23072.68818
"VVI",7904,19689.75679
"VVG",5021,12507.87814
"VV0",2777,6917.82067
"VVZ",2659,6623.86935
"VVGK",78,194.30681
"VVNK",6,14.94668
"VVn",3,7.47334
"VVI21",1,2.49111
"VVI22",1,2.49111
"VVI33",0,0.00000
"VVG22",0,0.00000
"VVG21",0,0.00000
"VVN21",0,0.00000
"VVN22",0,0.00000
"VVO",0,0.00000
"VVND",0,0.00000
"VV022",0,0.00000
"VVPR",0,0.00000
"VVd",0,0.00000
"VVi",0,0.00000
"VVDZ",0,0.00000
"VVI32",0,0.00000
"VVI31",0,0.00000
"VV021",0,0.00000
"VV",0,0.00000
