"corpus","preloaded/brown_family_1"
"subcorpus","###4073131095021655026###"
"concordance size","22312"
"query","Query:[lempos="".*-n""&lempos!=""[^[:alpha:]].*""]"
"tag", "lemma (lowercase)", "Frequency", "Freq. per million", "% of concordance"
"NN1","man",175, 1546.05932, 0.78433
"NNT1","time",145, 1281.02058, 0.64987
"NN1","way",130, 1148.50121, 0.58265
"NN1","door",122, 1077.82421, 0.54679
"NN1","car",122, 1077.82421, 0.54679
"PN1","something",110, 971.80871, 0.49301
"NNB","mr.",109, 962.97409, 0.48853
"NN1","room",106, 936.47021, 0.47508
"NP1","john",93, 821.62009, 0.41682
"NN","people",92, 812.78547, 0.41233
"NNT1","day",91, 803.95084, 0.40785
"NN1","office",87, 768.61235, 0.38992
"NN1","head",82, 724.43922, 0.36752
"PN1","anything",81, 715.60460, 0.36303
"NN1","house",79, 697.93535, 0.35407
"NNB","mrs.",78, 689.10072, 0.34959
"NN1","hand",78, 689.10072, 0.34959
"PN1","nothing",77, 680.26610, 0.34511
"NN1","woman",77, 680.26610, 0.34511
"NN2","eye",76, 671.43147, 0.34062
"NNT1","night",74, 653.76222, 0.33166
"NN1","father",72, 636.09298, 0.32270
"NN1","face",72, 636.09298, 0.32270
"NNT2","year",69, 609.58910, 0.30925
"NN2","police",68, 600.75448, 0.30477
"NN1","street",66, 583.08523, 0.29580
"NN1","money",65, 574.25060, 0.29132
"NN1","side",64, 565.41598, 0.28684
"NP1","laurie",63, 556.58135, 0.28236
"NN1","moment",61, 538.91210, 0.27340
"NN1","name",61, 538.91210, 0.27340
"NN1","thing",59, 521.24285, 0.26443
"NN2","man",56, 494.73898, 0.25099
"NP1","hawk",54, 477.06973, 0.24202
"NN1","body",54, 477.06973, 0.24202
"NN1","road",53, 468.23511, 0.23754
"NN2","thing",50, 441.73123, 0.22409
"NN1","life",50, 441.73123, 0.22409
"NN1","mind",48, 424.06198, 0.21513
"NNT1","morning",47, 415.22736, 0.21065
"NN1","gun",47, 415.22736, 0.21065
"NN1","window",46, 406.39273, 0.20617
"NN1","mother",45, 397.55811, 0.20169
"NN1","voice",45, 397.55811, 0.20169
"NN1","place",44, 388.72349, 0.19720
"RR22","course",43, 379.88886, 0.19272
"NN1","wife",43, 379.88886, 0.19272
"NN2","hand",41, 362.21961, 0.18376
"NN1","poet",41, 362.21961, 0.18376
"NN1","sister",40, 353.38499, 0.17928
"NN1","truck",40, 353.38499, 0.17928
"NN1","floor",40, 353.38499, 0.17928
"PN1","everything",40, 353.38499, 0.17928
"NN1","hair",39, 344.55036, 0.17479
"NN1","couple",39, 344.55036, 0.17479
"NN1","death",39, 344.55036, 0.17479
"NN1","water",38, 335.71574, 0.17031
"NP1","roberts",38, 335.71574, 0.17031
"RL","home",37, 326.88111, 0.16583
"NN1","point",37, 326.88111, 0.16583
"NN1","case",37, 326.88111, 0.16583
"PN1","someone",37, 326.88111, 0.16583
"NN1","trouble",37, 326.88111, 0.16583
"NN1","reason",36, 318.04649, 0.16135
"NN1","girl",36, 318.04649, 0.16135
"NN1","murder",36, 318.04649, 0.16135
"NNT2","minute",35, 309.21186, 0.15687
"NNT2","day",35, 309.21186, 0.15687
"NN1","kind",34, 300.37724, 0.15238
"NN2","foot",34, 300.37724, 0.15238
"NN1","table",33, 291.54261, 0.14790
"NP1","andy",33, 291.54261, 0.14790
"NP1","elaine",33, 291.54261, 0.14790
"NP1","sarah",33, 291.54261, 0.14790
"NN1","coffee",32, 282.70799, 0.14342
"NN1","fact",32, 282.70799, 0.14342
"NN1","number",32, 282.70799, 0.14342
"NNT1","hour",32, 282.70799, 0.14342
"NN1","station",31, 273.87336, 0.13894
"NN1","paper",31, 273.87336, 0.13894
"NN1","home",31, 273.87336, 0.13894
"NN1","boy",31, 273.87336, 0.13894
"NN1","desk",31, 273.87336, 0.13894
"NP1","porter",30, 265.03874, 0.13446
