"corpus","preloaded/brown_family_1"
"subcorpus","###5388519865610658890###"
"concordance size","42581"
"query","Query:[lempos="".*-n""&lempos!=""[^[:alpha:]].*""]"
"tag", "lemma (lowercase)", "Frequency", "Freq. per million", "% of concordance"
"NN1","man",427, 1852.96887, 1.00279
"NNT1","time",394, 1709.76519, 0.92530
"NN1","door",286, 1241.09859, 0.67166
"NN1","way",271, 1176.00601, 0.63643
"NN1","room",219, 950.35172, 0.51431
"PN1","something",212, 919.97518, 0.49787
"NN2","eye",209, 906.95666, 0.49083
"NN1","head",187, 811.48754, 0.43916
"NN","people",180, 781.11100, 0.42272
"NNT1","night",168, 729.03693, 0.39454
"NN1","face",159, 689.98138, 0.37341
"NN1","house",158, 685.64188, 0.37106
"NN1","hand",157, 681.30237, 0.36871
"PN1","nothing",152, 659.60484, 0.35697
"NNT1","day",148, 642.24682, 0.34757
"NN1","moment",145, 629.22831, 0.34053
"NN1","thing",138, 598.85177, 0.32409
"NN1","woman",136, 590.17276, 0.31939
"NN1","place",135, 585.83325, 0.31704
"NN2","police",132, 572.81473, 0.31000
"NN1","side",129, 559.79622, 0.30295
"NN2","thing",127, 551.11721, 0.29826
"PN1","anything",119, 516.40116, 0.27947
"NN1","voice",113, 490.36413, 0.26538
"NN1","car",112, 486.02462, 0.26303
"NNB","mr.",110, 477.34561, 0.25833
"NN1","case",106, 459.98759, 0.24894
"RR22","course",104, 451.30858, 0.24424
"NN2","hand",98, 425.27154, 0.23015
"NNB","mrs",98, 425.27154, 0.23015
"NNT1","morning",97, 420.93204, 0.22780
"NN1","life",97, 420.93204, 0.22780
"NN1","girl",96, 416.59253, 0.22545
"NN1","end",96, 416.59253, 0.22545
"NN1","money",95, 412.25303, 0.22310
"NNT2","year",94, 407.91352, 0.22076
"NN1","table",91, 394.89501, 0.21371
"NN1","fact",90, 390.55550, 0.21136
"NN2","man",86, 373.19748, 0.20197
"NN1","mind",86, 373.19748, 0.20197
"NN1","name",84, 364.51847, 0.19727
"NNB","mr",83, 360.17896, 0.19492
"NN1","floor",83, 360.17896, 0.19492
"PN1","everything",82, 355.83946, 0.19257
"NN1","light",78, 338.48143, 0.18318
"PN1","someone",78, 338.48143, 0.18318
"NN1","window",76, 329.80242, 0.17848
"NN2","foot",73, 316.78391, 0.17144
"NN1","bed",71, 308.10489, 0.16674
"NNT2","day",71, 308.10489, 0.16674
"NP1","jane",71, 308.10489, 0.16674
"NN1","wife",70, 303.76539, 0.16439
"NN1","kind",70, 303.76539, 0.16439
"NN1","office",70, 303.76539, 0.16439
"NNT2","minute",70, 303.76539, 0.16439
"NN1","death",70, 303.76539, 0.16439
"NN1","word",69, 299.42588, 0.16204
"NN1","back",68, 295.08638, 0.15970
"NN1","point",68, 295.08638, 0.15970
"RP","round",67, 290.74687, 0.15735
"NN1","wall",66, 286.40737, 0.15500
"NN1","hall",65, 282.06786, 0.15265
"NNT1","evening",65, 282.06786, 0.15265
"NN1","road",64, 277.72836, 0.15030
"NN1","idea",64, 277.72836, 0.15030
"NN1","body",64, 277.72836, 0.15030
"NP1","graham",64, 277.72836, 0.15030
"NN1","hair",62, 269.04934, 0.14560
"PN1","anyone",61, 264.70984, 0.14326
"NNT1","hour",60, 260.37033, 0.14091
"NN1","couple",59, 256.03083, 0.13856
"NN1","business",59, 256.03083, 0.13856
"NN1","chair",59, 256.03083, 0.13856
"NN1","lot",56, 243.01231, 0.13151
"NP1","anna",56, 243.01231, 0.13151
"NN1","sort",56, 243.01231, 0.13151
"NN1","look",56, 243.01231, 0.13151
"RL","home",55, 238.67281, 0.12917
"NP1","london",55, 238.67281, 0.12917
"NN1","world",54, 234.33330, 0.12682
"NN1","kitchen",54, 234.33330, 0.12682
"NN1","mouth",54, 234.33330, 0.12682
"NN1","part",54, 234.33330, 0.12682
"NN1","box",53, 229.99379, 0.12447
"NN1","matter",53, 229.99379, 0.12447
"NN1","pocket",52, 225.65429, 0.12212
"NN1","story",52, 225.65429, 0.12212
"NN1","mother",51, 221.31478, 0.11977
"NN1","water",51, 221.31478, 0.11977
"NN2","word",51, 221.31478, 0.11977
"RR22","right",51, 221.31478, 0.11977
"NN1","glass",51, 221.31478, 0.11977
"NN1","work",50, 216.97528, 0.11742
"NN1","question",50, 216.97528, 0.11742
"NN1","job",50, 216.97528, 0.11742
"NN1","friend",50, 216.97528, 0.11742
"NN1","chance",50, 216.97528, 0.11742
"NN1","gun",49, 212.63577, 0.11507
"NN1","reason",49, 212.63577, 0.11507
"NN1","silence",48, 208.29627, 0.11273
"NN1","number",48, 208.29627, 0.11273
"NNT2","hour",48, 208.29627, 0.11273
"NN1","boy",48, 208.29627, 0.11273
"NN1","book",48, 208.29627, 0.11273
"NN1","murder",48, 208.29627, 0.11273
"NN1","trouble",47, 203.95676, 0.11038
"NN1","sir",47, 203.95676, 0.11038
"NN1","figure",47, 203.95676, 0.11038
"NN1","bit",46, 199.61726, 0.10803
"NN1","smile",46, 199.61726, 0.10803
"NN1","eye",46, 199.61726, 0.10803
"NN1","desk",45, 195.27775, 0.10568
"NN1","guy",45, 195.27775, 0.10568
"NP1","adam",44, 190.93824, 0.10333
"NN2","question",44, 190.93824, 0.10333
"NN1","air",44, 190.93824, 0.10333
"NNT2","time",44, 190.93824, 0.10333
"NN2","friend",44, 190.93824, 0.10333
"NN1","river",43, 186.59874, 0.10098
"NP1","reacher",43, 186.59874, 0.10098
"NN1","child",43, 186.59874, 0.10098
"NN1","street",43, 186.59874, 0.10098
"NN1","detective",43, 186.59874, 0.10098
"NN1","blood",42, 182.25923, 0.09864
"NNT2","month",41, 177.91973, 0.09629
"NP1","faraday",41, 177.91973, 0.09629
"NN2","other",41, 177.91973, 0.09629
"NN1","arm",41, 177.91973, 0.09629
"NN1","person",41, 177.91973, 0.09629
"NP1","betty",41, 177.91973, 0.09629
"NN1","note",41, 177.91973, 0.09629
"NP1","lara",41, 177.91973, 0.09629
"RR22","bit",41, 177.91973, 0.09629
"NN1","top",40, 173.58022, 0.09394
"NN1","corner",40, 173.58022, 0.09394
"NNB","mrs.",39, 169.24072, 0.09159
"NN1","evidence",39, 169.24072, 0.09159
"NN1","truth",39, 169.24072, 0.09159
"NN1","heart",39, 169.24072, 0.09159
"NN1","garden",39, 169.24072, 0.09159
"NN1","sense",39, 169.24072, 0.09159
"NN1","husband",39, 169.24072, 0.09159
"NN1","news",38, 164.90121, 0.08924
"NP1","god",38, 164.90121, 0.08924
"NN2","finger",38, 164.90121, 0.08924
"NN1","home",38, 164.90121, 0.08924
"NN1","ground",38, 164.90121, 0.08924
"NP1","jamie",38, 164.90121, 0.08924
"NN1","hotel",38, 164.90121, 0.08924
"NP1","jacko",38, 164.90121, 0.08924
"NN1","inspector",37, 160.56171, 0.08689
"NN1","paper",37, 160.56171, 0.08689
"NNT1","afternoon",37, 160.56171, 0.08689
"NN1","bedroom",37, 160.56171, 0.08689
"NN1","letter",37, 160.56171, 0.08689
"NNT1","minute",37, 160.56171, 0.08689
"NN1","key",36, 156.22220, 0.08454
"RT","today",36, 156.22220, 0.08454
"NP1","wynter",36, 156.22220, 0.08454
"NN1","sight",36, 156.22220, 0.08454
"PN1","nobody",36, 156.22220, 0.08454
"NN1","thought",36, 156.22220, 0.08454
"NN1","direction",35, 151.88269, 0.08220
"NN1","information",35, 151.88269, 0.08220
"NN2","letter",35, 151.88269, 0.08220
"NN1","shoulder",35, 151.88269, 0.08220
"NN2","child",35, 151.88269, 0.08220
"NP1","gerry",34, 147.54319, 0.07985
"NN1","phone",34, 147.54319, 0.07985
"NP1","pete",34, 147.54319, 0.07985
"NN2","arm",34, 147.54319, 0.07985
