"corpus","preloaded/brown_family_1"
"subcorpus","###M3040898399593372265###"
Item,Frequency,Relative frequency
"man",741,2156.37659
"time",657,1911.92904
"door",446,1297.90008
"way",430,1251.33864
"thing",375,1091.28370
"hand",374,1088.37361
"room",358,1041.81217
"eye",347,1009.80118
"day",345,1003.98100
"something",322,937.04894
"head",289,841.01597
"car",280,814.82516
"people",272,791.54444
"face",265,771.17381
"night",253,736.25274
"woman",252,733.34265
"house",239,695.51148
"nothing",229,666.41058
"moment",227,660.59040
"year",222,646.03995
"Mr.",219,637.30968
"side",214,622.75923
"place",213,619.84914
"anything",202,587.83815
"case",192,558.73725
"course",182,529.63636
"police",178,517.99600
"name",178,517.99600
"voice",173,503.44555
"word",168,488.89510
"home",164,477.25474
"hour",160,465.61438
"right",160,465.61438
"money",160,465.61438
"life",159,462.70429
"foot",157,456.88411
"minute",157,456.88411
"girl",156,453.97402
"window",156,453.97402
"light",154,448.15384
"office",152,442.33366
"morning",150,436.51348
"fact",146,424.87312
"mind",146,424.87312
"question",141,410.32267
"table",138,401.59240
"friend",136,395.77222
"body",135,392.86213
"floor",130,378.31168
"street",129,375.40159
"end",128,372.49150
"bit",127,369.58141
"road",123,357.94105
"arm",120,349.21078
"glass",120,349.21078
"wife",118,343.39060
"lot",118,343.39060
"Mrs.",117,340.48051
"wall",116,337.57042
"kind",116,337.57042
"someone",115,334.66033
"John",114,331.75024
"point",113,328.84015
"child",112,325.93006
"boy",112,325.93006
"death",111,323.01997
"letter",108,314.28971
"back",107,311.37962
"everything",106,308.46953
"paper",106,308.46953
"round",105,305.55944
"hair",104,302.64935
"bed",103,299.73926
"shoulder",101,293.91908
"idea",101,293.91908
"look",101,293.91908
"couple",100,291.00899
"week",100,291.00899
"reason",100,291.00899
"chair",98,285.18881
"matter",97,282.27872
"Mrs",97,282.27872
"thought",95,276.45854
"sort",93,270.63836
"water",92,267.72827
"front",92,267.72827
"gun",91,264.81818
"evening",90,261.90809
